rank,pack_id,recipient_offset,recipient_length,best_phrase_score,best_signature_hits,candidate_count
0,1,1048219,1049689,482,80,13
1,2,2097908,1048760,215,35,20
2,5,5243475,1048325,96,14,4
3,3,3146668,1048846,48,8,8
4,6,6291800,1050555,33,5,6
5,7,7342355,1050180,31,5,7
6,0,0,1048219,0,0,0
7,4,4195514,1047961,0,0,0
