rank,pack_id,recipient_offset,recipient_length,best_phrase_score,best_signature_hits,candidate_count
1,2,2097908,1048760,215,35,4
2,3,3146668,1048846,48,8,2
3,4,4195514,1047961,1,0,0
4,5,5243475,1048325,1,0,1
5,6,6291800,1050555,33,5,3
6,7,7342355,1050180,31,5,4
7,8,8392535,1054725,39,6,4
8,9,9447260,1046778,1,0,0
9,10,10494038,1049016,48,8,3
10,11,11543054,1047966,36,6,4
