pack_id,recipient_offset,recipient_length,candidate_rank,donor_offset,donor_length,phrase_score,signature_hits,recipient_class,donor_class
1,1048219,1049689,0,982528,65536,608,100,9,9
1,1048219,1049689,1,491264,65536,571,93,9,9
1,1048219,1049689,2,0,65536,380,64,9,9
1,1048219,1049689,3,1031680,16384,244,40,9,9
2,2097908,1048760,0,982528,65536,608,100,9,9
2,2097908,1048760,1,491264,65536,571,93,9,9
2,2097908,1048760,2,0,65536,380,64,9,9
2,2097908,1048760,3,1048320,65536,366,60,9,9
2,2097908,1048760,4,1540096,65536,276,46,9,9
2,2097908,1048760,5,1031680,16384,244,40,9,9
3,3146668,1048846,0,982528,65536,608,100,9,9
3,3146668,1048846,1,491264,65536,571,93,9,9
3,3146668,1048846,2,0,65536,380,64,9,9
3,3146668,1048846,3,1048320,65536,366,60,9,9
3,3146668,1048846,4,1540096,65536,276,46,9,9
3,3146668,1048846,5,1031680,16384,244,40,9,9
3,3146668,1048846,6,2097920,16384,151,25,9,9
5,5243475,1048325,0,5177856,65536,96,14,10,10
5,5243475,1048325,1,4195584,256,29,7,10,10
5,5243475,1048325,2,5239296,4096,8,2,10,10
6,6291800,1050555,0,982528,65536,608,100,9,9
6,6291800,1050555,1,491264,65536,571,93,9,9
6,6291800,1050555,2,0,65536,380,64,9,9
6,6291800,1050555,3,1048320,65536,366,60,9,9
6,6291800,1050555,4,1540096,65536,276,46,9,9
6,6291800,1050555,5,1031680,16384,244,40,9,9
6,6291800,1050555,6,2097920,16384,151,25,9,9
7,7342355,1050180,0,982528,65536,608,100,9,9
7,7342355,1050180,1,491264,65536,571,93,9,9
7,7342355,1050180,2,0,65536,380,64,9,9
7,7342355,1050180,3,1048320,65536,366,60,9,9
7,7342355,1050180,4,1540096,65536,276,46,9,9
7,7342355,1050180,5,1031680,16384,244,40,9,9
7,7342355,1050180,6,2097920,16384,151,25,9,9
8,8392535,1054725,0,982528,65536,608,100,9,9
8,8392535,1054725,1,491264,65536,571,93,9,9
8,8392535,1054725,2,0,65536,380,64,9,9
8,8392535,1054725,3,1048320,65536,366,60,9,9
8,8392535,1054725,4,1540096,65536,276,46,9,9
8,8392535,1054725,5,1031680,16384,244,40,9,9
8,8392535,1054725,6,2097920,16384,151,25,9,9
9,9447260,1046778,0,5177856,65536,96,14,10,10
9,9447260,1046778,1,4195584,256,29,7,10,10
9,9447260,1046778,2,5759488,16384,22,4,10,10
9,9447260,1046778,3,5239296,4096,8,2,10,10
10,10494038,1049016,0,982528,65536,608,100,9,9
10,10494038,1049016,1,491264,65536,571,93,9,9
10,10494038,1049016,2,0,65536,380,64,9,9
10,10494038,1049016,3,1048320,65536,366,60,9,9
10,10494038,1049016,4,1540096,65536,276,46,9,9
10,10494038,1049016,5,1031680,16384,244,40,9,9
10,10494038,1049016,6,2097920,16384,151,25,9,9
