stream_class,profile_rank,donor_offset,donor_length,recipient_mentions,phrase_score,signature_hits
9,0,982528,65536,2,608,100
9,1,491264,65536,2,571,93
9,2,0,65536,2,380,64
9,3,1048320,65536,2,263,43
9,4,1031680,16384,2,244,40
9,5,1540096,65536,2,173,29
9,6,523520,1024,2,71,29
