offset,length,experts,stream_class,profile,residual_gain,mini_models
2097908,1048760,donor_profile+oracle,list,0,0.25,
3146668,1048846,donor_profile+oracle,list,0,0.25,
4195514,1047961,donor_profile+oracle,mixed,1,0.25,
5243475,1048325,donor_profile+oracle,mixed,1,0.25,
