recipient_region,recipient_offset,baseline_payload_bytes,selected_payload_bytes,gain_bytes,net_gain_bytes,donor_count,donors,candidate_count,exact_trials
31,32531029,279974,279974,0,0,0,-,8,8
32,33581405,256917,256917,0,0,0,-,8,8
33,34637194,242102,242102,0,0,0,-,8,8
34,35682590,232385,232385,0,0,0,-,8,8
35,36735523,235899,235899,0,0,0,-,8,8
36,37785676,264565,264565,0,0,0,-,8,8
37,38839404,252289,252289,0,0,0,-,8,8
38,39887096,211572,211572,0,0,0,-,8,8
39,40937191,237977,237977,0,0,0,-,8,8
40,41986401,245177,245177,0,0,0,-,8,8
41,43034573,218896,218896,0,0,0,-,8,8
42,44082319,178889,178889,0,0,0,-,8,8
43,45130116,219179,219179,0,0,0,-,8,8
44,46176335,250012,250012,0,0,0,-,8,8
45,47228198,271667,271667,0,0,0,-,8,8
46,48276807,277392,277392,0,0,0,-,8,8
47,49326598,265659,265659,0,0,0,-,8,8
48,50375116,282886,282886,0,0,0,-,8,8
49,51429545,263426,263426,0,0,0,-,8,8
50,52478164,246769,246769,0,0,0,-,8,8
51,53526828,283095,283095,0,0,0,-,8,8
52,54574659,267663,267663,0,0,0,-,8,8
53,55623067,233735,233735,0,0,0,-,8,8
54,56673889,267396,267396,0,0,0,-,8,8
55,57723048,265633,265633,0,0,0,-,8,8
56,58772244,252710,252710,0,0,0,-,8,8
57,59816997,262436,262436,0,0,0,-,8,8
58,60864583,278646,278646,0,0,0,-,8,8
59,61910108,261519,261519,0,0,0,-,8,8
60,62961887,243390,243390,0,0,0,-,8,8
61,64013943,280501,280501,0,0,0,-,8,8
62,65063939,205050,205050,0,0,0,-,8,8
63,66113270,251822,251822,0,0,0,-,8,8
64,67162195,261718,261718,0,0,0,-,8,8
65,68210996,223543,223543,0,0,0,-,8,8
66,69260290,200507,200507,0,0,0,-,8,8
67,70308921,272064,272064,0,0,0,-,8,8
68,71359090,257553,257553,0,0,0,-,8,8
69,72413180,254791,254791,0,0,0,-,8,8
70,73462010,255713,255713,0,0,0,-,8,8
71,74505116,281915,281915,0,0,0,-,8,8
72,75550861,272827,272827,0,0,0,-,8,8
73,76600145,263613,263613,0,0,0,-,8,8
74,77649549,269741,269741,0,0,0,-,8,8
75,78698950,240669,240669,0,0,0,-,8,8
76,79749109,254380,254380,0,0,0,-,8,8
77,80797080,240509,240509,0,0,0,-,8,8
78,81846058,227177,227177,0,0,0,-,8,8
79,82895685,189314,189314,0,0,0,-,8,8
80,83944520,244596,244596,0,0,0,-,8,8
81,84989531,259768,259768,0,0,0,-,8,8
82,86038265,244052,244052,0,0,0,-,8,8
83,87087641,240462,240462,0,0,0,-,8,8
84,88136600,189821,189821,0,0,0,-,8,8
85,89184861,196765,196765,0,0,0,-,8,8
86,90235200,194856,194856,0,0,0,-,8,8
87,91284118,199134,199134,0,0,0,-,8,8
88,92334574,198975,198975,0,0,0,-,8,8
89,93379564,206231,206231,0,0,0,-,8,8
90,94428006,238649,238649,0,0,0,-,8,8
91,95475522,225853,225853,0,0,0,-,8,8
92,96523305,257793,257793,0,0,0,-,8,8
93,97572014,277777,277777,0,0,0,-,8,8
94,98619736,271617,271617,0,0,0,-,8,8
