recipient_region,recipient_offset,recipient_length,mode,expert_mask,mini_model_mask,profile_id,stream_class,donor_count,donors,vr_min_length,vr_event_count,baseline_payload_bytes,candidate_payload_bytes,gross_gain_bytes,standalone_plan_bytes,net_gain_bytes,candidate_count,exact_trials,status
53,55623067,1050822,baseline,0,0,0,10,0,-,0,0,233735,233735,0,0,0,97,97,baseline
54,56673889,1049159,baseline,0,0,0,10,0,-,0,0,267396,267396,0,0,0,97,97,baseline
55,57723048,1049196,baseline,0,0,0,10,0,-,0,0,265633,265633,0,0,0,97,97,baseline
56,58772244,1044753,baseline,0,0,0,10,0,-,0,0,252710,252710,0,0,0,85,85,baseline
57,59816997,1047586,baseline,0,0,0,10,0,-,0,0,262436,262436,0,0,0,105,105,baseline
58,60864583,1045525,baseline,0,0,0,10,0,-,0,0,278646,278646,0,0,0,85,85,baseline
59,61910108,1051779,baseline,0,0,0,10,0,-,0,0,261519,261519,0,0,0,93,93,baseline
60,62961887,1052056,baseline,0,0,0,10,0,-,0,0,243390,243390,0,0,0,85,85,baseline
61,64013943,1049996,baseline,0,0,0,10,0,-,0,0,280501,280501,0,0,0,93,93,baseline
62,65063939,1049331,baseline,0,0,0,10,0,-,0,0,205050,205050,0,0,0,98,98,baseline
63,66113270,1048925,baseline,0,0,0,10,0,-,0,0,251822,251822,0,0,0,102,102,baseline
64,67162195,1048801,baseline,0,0,0,10,0,-,0,0,261718,261718,0,0,0,105,105,baseline
65,68210996,1049294,baseline,0,0,0,10,0,-,0,0,223543,223543,0,0,0,105,105,baseline
66,69260290,1048631,baseline,0,0,0,10,0,-,0,0,200507,200507,0,0,0,105,105,baseline
67,70308921,1050169,baseline,0,0,0,10,0,-,0,0,272064,272064,0,0,0,105,105,baseline
68,71359090,1054090,baseline,0,0,0,10,0,-,0,0,257553,257553,0,0,0,106,106,baseline
69,72413180,1048830,baseline,0,0,0,10,0,-,0,0,254791,254791,0,0,0,85,85,baseline
70,73462010,1043106,baseline,0,0,0,10,0,-,0,0,255713,255713,0,0,0,105,105,baseline
71,74505116,1045745,baseline,0,0,0,10,0,-,0,0,281915,281915,0,0,0,105,105,baseline
72,75550861,1049284,baseline,0,0,0,10,0,-,0,0,272827,272827,0,0,0,106,106,baseline
73,76600145,1049404,baseline,0,0,0,10,0,-,0,0,263613,263613,0,0,0,101,101,baseline
74,77649549,1049401,baseline,0,0,0,10,0,-,0,0,269741,269741,0,0,0,97,97,baseline
75,78698950,1050159,baseline,0,0,0,10,0,-,0,0,240669,240669,0,0,0,105,105,baseline
76,79749109,1047971,baseline,0,0,0,10,0,-,0,0,254380,254380,0,0,0,105,105,baseline
77,80797080,1048978,baseline,0,0,0,10,0,-,0,0,240509,240509,0,0,0,105,105,baseline
78,81846058,1049627,baseline,0,0,0,10,0,-,0,0,227177,227177,0,0,0,106,106,baseline
79,82895685,1048835,baseline,0,0,0,10,0,-,0,0,189314,189314,0,0,0,105,105,baseline
80,83944520,1045011,baseline,0,0,0,10,0,-,0,0,244596,244596,0,0,0,105,105,baseline
81,84989531,1048734,baseline,0,0,0,10,0,-,0,0,259768,259768,0,0,0,105,105,baseline
82,86038265,1049376,baseline,0,0,0,10,0,-,0,0,244052,244052,0,0,0,105,105,baseline
83,87087641,1048959,baseline,0,0,0,10,0,-,0,0,240462,240462,0,0,0,105,105,baseline
84,88136600,1048261,baseline,0,0,0,10,0,-,0,0,189821,189821,0,0,0,105,105,baseline
85,89184861,1050339,baseline,0,0,0,10,0,-,0,0,196765,196765,0,0,0,106,106,baseline
86,90235200,1048918,baseline,0,0,0,10,0,-,0,0,194856,194856,0,0,0,105,105,baseline
87,91284118,1050456,baseline,0,0,0,10,0,-,0,0,199134,199134,0,0,0,85,85,baseline
88,92334574,1044990,baseline,0,0,0,10,0,-,0,0,198975,198975,0,0,0,85,85,baseline
89,93379564,1048442,baseline,0,0,0,10,0,-,0,0,206231,206231,0,0,0,105,105,baseline
90,94428006,1047516,baseline,0,0,0,10,0,-,0,0,238649,238649,0,0,0,105,105,baseline
91,95475522,1047783,baseline,0,0,0,10,0,-,0,0,225853,225853,0,0,0,105,105,baseline
92,96523305,1048709,baseline,0,0,0,10,0,-,0,0,257793,257793,0,0,0,105,105,baseline
93,97572014,1047722,baseline,0,0,0,10,0,-,0,0,277777,277777,0,0,0,105,105,baseline
94,98619736,1047395,baseline,0,0,0,10,0,-,0,0,271617,271617,0,0,0,105,105,baseline
95,99667131,1048501,baseline,0,0,0,10,0,-,0,0,259824,259824,0,0,0,106,106,baseline
