recipient_region,recipient_offset,recipient_length,mode,expert_mask,mini_model_mask,profile_id,stream_class,donor_count,donors,vr_min_length,vr_event_count,baseline_payload_bytes,candidate_payload_bytes,gross_gain_bytes,standalone_plan_bytes,net_gain_bytes,candidate_count,exact_trials,status
164,171975646,1049530,baseline,0,0,0,10,0,-,0,0,231080,231080,0,0,0,110,110,baseline
165,173025176,1048648,baseline,0,0,0,10,0,-,0,0,265420,265420,0,0,0,110,110,baseline
166,174073824,1037472,baseline,0,0,0,10,0,-,0,0,243547,243547,0,0,0,110,110,baseline
167,175111296,1052652,baseline,0,0,0,10,0,-,0,0,237385,237385,0,0,0,110,110,baseline
168,176163948,1030724,baseline,0,0,0,10,0,-,0,0,249435,249435,0,0,0,110,110,baseline
169,177194672,1049078,baseline,0,0,0,10,0,-,0,0,242546,242546,0,0,0,111,111,baseline
170,178243750,1052178,baseline,0,0,0,10,0,-,0,0,247147,247147,0,0,0,111,111,baseline
171,179295928,1047324,baseline,0,0,0,10,0,-,0,0,203766,203766,0,0,0,110,110,baseline
172,180343252,1042821,baseline,0,0,0,10,0,-,0,0,230085,230085,0,0,0,110,110,baseline
173,181386073,1052237,baseline,0,0,0,10,0,-,0,0,242091,242091,0,0,0,110,110,baseline
174,182438310,1048420,baseline,0,0,0,10,0,-,0,0,202325,202325,0,0,0,111,111,baseline
175,183486730,1046059,baseline,0,0,0,10,0,-,0,0,238800,238800,0,0,0,111,111,baseline
176,184532789,1042547,baseline,0,0,0,10,0,-,0,0,248310,248310,0,0,0,110,110,baseline
177,185575336,1045763,baseline,0,0,0,10,0,-,0,0,238533,238533,0,0,0,111,111,baseline
178,186621099,1049227,baseline,0,0,0,10,0,-,0,0,255943,255943,0,0,0,111,111,baseline
179,187670326,1039704,baseline,0,0,0,10,0,-,0,0,221622,221622,0,0,0,111,111,baseline
180,188710030,1048350,baseline,0,0,0,10,0,-,0,0,246342,246342,0,0,0,111,111,baseline
181,189758380,1048434,baseline,0,0,0,10,0,-,0,0,245466,245466,0,0,0,111,111,baseline
182,190806814,1045886,baseline,0,0,0,10,0,-,0,0,275420,275420,0,0,0,110,110,baseline
183,191852700,1047401,baseline,0,0,0,10,0,-,0,0,220294,220294,0,0,0,110,110,baseline
184,192900101,1047633,baseline,0,0,0,10,0,-,0,0,227979,227979,0,0,0,110,110,baseline
185,193947734,1051812,baseline,0,0,0,10,0,-,0,0,256245,256245,0,0,0,110,110,baseline
186,194999546,1050949,baseline,0,0,0,10,0,-,0,0,224907,224907,0,0,0,110,110,baseline
187,196050495,1045237,baseline,0,0,0,10,0,-,0,0,274307,274307,0,0,0,110,110,baseline
188,197095732,1052115,baseline,0,0,0,10,0,-,0,0,277983,277983,0,0,0,111,111,baseline
189,198147847,1049372,baseline,0,0,0,10,0,-,0,0,275100,275100,0,0,0,110,110,baseline
190,199197219,1048394,baseline,0,0,0,10,0,-,0,0,283704,283704,0,0,0,110,110,baseline
191,200245613,1048239,baseline,0,0,0,10,0,-,0,0,273037,273037,0,0,0,110,110,baseline
192,201293852,1047487,baseline,0,0,0,10,0,-,0,0,274878,274878,0,0,0,110,110,baseline
193,202341339,1048350,baseline,0,0,0,10,0,-,0,0,274876,274876,0,0,0,111,111,baseline
194,203389689,1048976,baseline,0,0,0,10,0,-,0,0,278323,278323,0,0,0,110,110,baseline
195,204438665,1048128,baseline,0,0,0,10,0,-,0,0,258827,258827,0,0,0,110,110,baseline
196,205486793,1041362,baseline,0,0,0,10,0,-,0,0,271642,271642,0,0,0,110,110,baseline
197,206528155,1049722,baseline,0,0,0,10,0,-,0,0,284998,284998,0,0,0,110,110,baseline
198,207577877,1047909,baseline,0,0,0,10,0,-,0,0,279287,279287,0,0,0,111,111,baseline
199,208625786,1049940,baseline,0,0,0,10,0,-,0,0,253420,253420,0,0,0,110,110,baseline
200,209675726,1047286,baseline,0,0,0,10,0,-,0,0,278393,278393,0,0,0,110,110,baseline
201,210723012,1051312,baseline,0,0,0,10,0,-,0,0,277050,277050,0,0,0,110,110,baseline
202,211774324,1049489,baseline,0,0,0,10,0,-,0,0,278180,278180,0,0,0,110,110,baseline
203,212823813,1047894,baseline,0,0,0,10,0,-,0,0,276904,276904,0,0,0,110,110,baseline
204,213871707,1048295,baseline,0,0,0,10,0,-,0,0,259736,259736,0,0,0,110,110,baseline
205,214920002,1050963,baseline,0,0,0,10,0,-,0,0,251699,251699,0,0,0,110,110,baseline
206,215970965,1044906,baseline,0,0,0,10,0,-,0,0,251074,251074,0,0,0,110,110,baseline
207,217015871,1047427,baseline,0,0,0,10,0,-,0,0,271180,271180,0,0,0,110,110,baseline
208,218063298,1047259,baseline,0,0,0,10,0,-,0,0,266524,266524,0,0,0,110,110,baseline
209,219110557,1046057,baseline,0,0,0,10,0,-,0,0,255674,255674,0,0,0,110,110,baseline
210,220156614,1044679,baseline,0,0,0,10,0,-,0,0,223556,223556,0,0,0,110,110,baseline
211,221201293,1047999,baseline,0,0,0,10,0,-,0,0,250685,250685,0,0,0,110,110,baseline
212,222249292,1048210,baseline,0,0,0,10,0,-,0,0,234631,234631,0,0,0,111,111,baseline
213,223297502,1048685,baseline,0,0,0,10,0,-,0,0,248929,248929,0,0,0,110,110,baseline
214,224346187,1047114,baseline,0,0,0,10,0,-,0,0,244043,244043,0,0,0,110,110,baseline
215,225393301,1048718,baseline,0,0,0,10,0,-,0,0,280238,280238,0,0,0,110,110,baseline
216,226442019,1046400,baseline,0,0,0,10,0,-,0,0,260090,260090,0,0,0,110,110,baseline
217,227488419,1046237,baseline,0,0,0,10,0,-,0,0,239313,239313,0,0,0,91,91,baseline
218,228534656,1049802,baseline,0,0,0,10,0,-,0,0,260936,260936,0,0,0,90,90,baseline
219,229584458,1043218,baseline,0,0,0,10,0,-,0,0,263732,263732,0,0,0,110,110,baseline
220,230627676,1046019,baseline,0,0,0,10,0,-,0,0,260604,260604,0,0,0,111,111,baseline
221,231673695,1047074,baseline,0,0,0,10,0,-,0,0,228802,228802,0,0,0,110,110,baseline
222,232720769,1047311,baseline,0,0,0,10,0,-,0,0,260537,260537,0,0,0,111,111,baseline
223,233768080,1051892,baseline,0,0,0,10,0,-,0,0,266269,266269,0,0,0,110,110,baseline
224,234819972,1047842,baseline,0,0,0,10,0,-,0,0,253980,253980,0,0,0,110,110,baseline
225,235867814,1050750,baseline,0,0,0,10,0,-,0,0,266889,266889,0,0,0,110,110,baseline
226,236918564,1043149,baseline,0,0,0,10,0,-,0,0,264955,264955,0,0,0,110,110,baseline
227,237961713,1046633,baseline,0,0,0,10,0,-,0,0,269034,269034,0,0,0,111,111,baseline
228,239008346,1056407,baseline,0,0,0,10,0,-,0,0,268210,268210,0,0,0,110,110,baseline
229,240064753,1051784,baseline,0,0,0,10,0,-,0,0,263889,263889,0,0,0,110,110,baseline
230,241116537,1055858,baseline,0,0,0,10,0,-,0,0,267402,267402,0,0,0,110,110,baseline
231,242172395,1050579,baseline,0,0,0,10,0,-,0,0,267259,267259,0,0,0,110,110,baseline
232,243222974,1051100,baseline,0,0,0,10,0,-,0,0,256070,256070,0,0,0,110,110,baseline
233,244274074,1052550,baseline,0,0,0,10,0,-,0,0,273519,273519,0,0,0,110,110,baseline
234,245326624,1049103,baseline,0,0,0,10,0,-,0,0,278875,278875,0,0,0,110,110,baseline
235,246375727,1054756,baseline,0,0,0,10,0,-,0,0,275746,275746,0,0,0,110,110,baseline
236,247430483,1048544,baseline,0,0,0,10,0,-,0,0,254459,254459,0,0,0,110,110,baseline
237,248479027,1046582,baseline,0,0,0,10,0,-,0,0,242051,242051,0,0,0,110,110,baseline
238,249525609,1048131,baseline,0,0,0,10,0,-,0,0,252169,252169,0,0,0,110,110,baseline
239,250573740,1047626,baseline,0,0,0,10,0,-,0,0,262561,262561,0,0,0,110,110,baseline
240,251621366,1049944,baseline,0,0,0,10,0,-,0,0,249189,249189,0,0,0,110,110,baseline
241,252671310,1046905,baseline,0,0,0,10,0,-,0,0,260014,260014,0,0,0,110,110,baseline
242,253718215,1053736,baseline,0,0,0,10,0,-,0,0,257439,257439,0,0,0,110,110,baseline
243,254771951,1044928,baseline,0,0,0,10,0,-,0,0,267073,267073,0,0,0,110,110,baseline
244,255816879,1047041,baseline,0,0,0,10,0,-,0,0,234856,234856,0,0,0,111,111,baseline
245,256863920,1048871,baseline,0,0,0,10,0,-,0,0,234809,234809,0,0,0,111,111,baseline
246,257912791,1047837,baseline,0,0,0,10,0,-,0,0,221271,221271,0,0,0,111,111,baseline
247,258960628,1048833,baseline,0,0,0,10,0,-,0,0,264427,264427,0,0,0,111,111,baseline
248,260009461,1049560,baseline,0,0,0,10,0,-,0,0,241777,241777,0,0,0,110,110,baseline
249,261059021,1055955,baseline,0,0,0,10,0,-,0,0,231580,231580,0,0,0,110,110,baseline
250,262114976,1060224,baseline,0,0,0,10,0,-,0,0,166052,166052,0,0,0,110,110,baseline
