recipient_region,recipient_offset,span_rank,span_offset,emitted_bytes
26,27289725,6,27297917,1282
26,27289725,7,27322493,1241
27,28339390,0,29093054,1353
27,28339390,1,28957886,1306
27,28339390,2,29097150,1252
27,28339390,3,28949694,1232
27,28339390,4,28830910,1222
27,28339390,5,29031614,1219
27,28339390,6,28376254,1218
27,28339390,7,28380350,1214
28,29382763,0,30140523,1358
28,29382763,1,30029931,1310
28,29382763,2,29816939,1286
28,29382763,3,29792363,1260
28,29382763,4,29907051,1238
28,29382763,5,30406763,1234
28,29382763,6,30341227,1233
28,29382763,7,30337131,1219
29,30430735,0,30848527,1492
29,30430735,1,30844431,1458
29,30430735,2,30840335,1447
29,30430735,3,31233551,1389
29,30430735,4,31237647,1385
29,30430735,5,30660111,1357
29,30430735,6,31180303,1351
29,30430735,7,31409679,1348
30,31484883,0,31894483,1356
30,31484883,1,32205779,1350
30,31484883,2,31771603,1340
30,31484883,3,31767507,1339
30,31484883,4,31890387,1334
30,31484883,5,32009171,1327
30,31484883,6,31792083,1325
30,31484883,7,32013267,1325
31,32531029,0,32682581,1379
31,32531029,1,33243733,1359
31,32531029,2,33210965,1354
31,32531029,3,33329749,1351
31,32531029,4,33190485,1346
31,32531029,5,33247829,1328
31,32531029,6,33333845,1323
31,32531029,7,32838229,1314
32,33581405,0,34412893,1471
32,33581405,1,33917277,1413
32,33581405,2,33876317,1353
32,33581405,3,34212189,1336
32,33581405,4,34240861,1331
32,33581405,5,34548061,1315
32,33581405,6,34216285,1310
32,33581405,7,33880413,1298
33,34637194,0,35169674,1329
33,34637194,1,34694538,1287
33,34637194,2,35513738,1280
33,34637194,3,35165578,1278
33,34637194,4,35509642,1264
33,34637194,5,34911626,1259
33,34637194,6,35161482,1242
33,34637194,7,34907530,1239
34,35682590,0,36501790,1283
34,35682590,1,36608286,1281
34,35682590,2,36612382,1270
34,35682590,3,36333854,1252
34,35682590,4,36677918,1249
34,35682590,5,36329758,1245
34,35682590,6,36661534,1232
34,35682590,7,36325662,1210
35,36735523,0,37771811,1323
35,36735523,1,37513763,1314
35,36735523,2,37313059,1302
35,36735523,3,37542435,1285
35,36735523,4,37493283,1283
35,36735523,5,37538339,1282
35,36735523,6,37657123,1281
35,36735523,7,36846115,1270
36,37785676,0,38535244,1511
36,37785676,1,38539340,1461
36,37785676,2,38719564,1396
36,37785676,3,38543436,1391
36,37785676,4,38707276,1391
36,37785676,5,38731852,1379
36,37785676,6,38387788,1346
36,37785676,7,38412364,1340
37,38839404,0,39064684,1408
37,38839404,1,39511148,1396
37,38839404,2,39437420,1384
37,38839404,3,39441516,1370
37,38839404,4,39220332,1367
37,38839404,5,39650412,1353
37,38839404,6,39318636,1346
37,38839404,7,39150700,1344
38,39887096,0,40640760,1325
38,39887096,1,40919288,1308
38,39887096,2,40526072,1281
38,39887096,3,40739064,1281
38,39887096,4,40063224,1279
38,39887096,5,40829176,1253
38,39887096,6,40706296,1252
38,39887096,7,40857848,1247
39,40937191,0,40961767,1432
39,40937191,1,41735911,1397
39,40937191,2,41719527,1351
39,40937191,3,41080551,1341
39,40937191,4,41907943,1323
39,40937191,5,41625319,1322
39,40937191,6,41674471,1318
39,40937191,7,41461479,1316
40,41986401,0,42891617,1350
40,41986401,1,42748257,1341
40,41986401,2,42760545,1335
40,41986401,3,42092897,1322
40,41986401,4,42473825,1304
40,41986401,5,42477921,1294
40,41986401,6,42580321,1272
40,41986401,7,42936673,1266
41,43034573,0,43104205,1398
41,43034573,1,43100109,1343
41,43034573,2,43304909,1322
41,43034573,3,43276237,1305
41,43034573,4,43210701,1293
41,43034573,5,43091917,1278
41,43034573,6,43657165,1272
41,43034573,7,43231181,1268
42,44082319,0,44160143,1407
42,44082319,1,44164239,1379
42,44082319,2,44668047,1266
42,44082319,3,44258447,1265
42,44082319,4,44254351,1196
42,44082319,5,45053071,1194
42,44082319,6,45044879,1189
42,44082319,7,44168335,1183
43,45130116,0,45715844,1496
43,45130116,1,45339012,1357
43,45130116,2,45859204,1324
43,45130116,3,45818244,1323
43,45130116,4,45195652,1308
43,45130116,5,45564292,1302
43,45130116,6,45568388,1299
43,45130116,7,46145924,1280
44,46176335,0,46602319,1401
44,46176335,1,46340175,1372
44,46176335,2,46995535,1323
