offset,length,experts,stream_class,profile,residual_gain,pack_id,status
0,117,oracle+donor_profile,xml,0,0.25,174204,oracle_only
120,121,oracle+donor_profile,xml,0,0.25,174205,oracle_only
244,137,oracle+donor_profile,xml,0,0.25,174206,oracle_only
384,173,oracle+donor_profile,xml,0,0.25,174207,oracle_only
560,91,oracle+donor_profile,xml,0,0.25,174208,oracle_only
654,128,oracle+donor_profile,xml,0,0.25,174209,oracle_only
785,136,oracle+donor_profile,xml,0,0.25,174210,oracle_only
924,198,oracle+donor_profile,xml,0,0.25,174211,oracle_only
1125,99,oracle+donor_profile,xml,0,0.25,174212,oracle_only
1227,120,oracle+donor_profile,xml,0,0.25,174213,oracle_only
1350,125,oracle+donor_profile,xml,0,0.25,174214,oracle_only
1478,125,oracle+donor_profile,xml,0,0.25,174215,oracle_only
1606,93,oracle+donor_profile,xml,0,0.25,174216,oracle_only
1702,173,oracle+donor_profile,xml,0,0.25,174217,oracle_only
1878,83,oracle+donor_profile,xml,0,0.25,174218,oracle_only
1964,114,oracle+donor_profile,xml,0,0.25,174219,oracle_only
2081,114,oracle+donor_profile,xml,0,0.25,174220,oracle_only
2198,124,oracle+donor_profile,xml,0,0.25,174221,oracle_only
2325,122,oracle+donor_profile,xml,0,0.25,174222,oracle_only
2450,106,oracle+donor_profile,xml,0,0.25,174223,oracle_only
2559,83,oracle+donor_profile,xml,0,0.25,174224,oracle_only
2645,117,oracle+donor_profile,xml,0,0.25,174225,oracle_only
2765,120,oracle+donor_profile,xml,0,0.25,174226,oracle_only
2888,108,oracle+donor_profile,xml,0,0.25,174227,oracle_only
2999,106,oracle+donor_profile,xml,0,0.25,174228,oracle_only
3108,113,oracle+donor_profile,xml,0,0.25,174229,oracle_only
3224,120,oracle+donor_profile,xml,0,0.25,174230,oracle_only
3347,123,oracle+donor_profile,xml,0,0.25,174231,oracle_only
3473,123,oracle+donor_profile,xml,0,0.25,174232,oracle_only
3599,146,oracle+donor_profile,xml,0,0.25,174233,oracle_only
3748,117,oracle+donor_profile,xml,0,0.25,174234,oracle_only
3868,126,oracle+donor_profile,xml,0,0.25,174235,oracle_only
3997,105,oracle+donor_profile,xml,0,0.25,174236,oracle_only
4105,81,oracle+donor_profile,xml,0,0.25,174237,oracle_only
4189,168,oracle+donor_profile,xml,0,0.25,174238,oracle_only
4360,93,oracle+donor_profile,xml,0,0.25,174239,oracle_only
4456,117,oracle+donor_profile,xml,0,0.25,174240,oracle_only
4576,106,oracle+donor_profile,xml,0,0.25,174241,oracle_only
4685,108,oracle+donor_profile,xml,0,0.25,174242,oracle_only
4796,133,oracle+donor_profile,xml,0,0.25,174243,oracle_only
4932,129,oracle+donor_profile,xml,0,0.25,174244,oracle_only
5064,119,oracle+donor_profile,xml,0,0.25,174245,oracle_only
5186,121,oracle+donor_profile,xml,0,0.25,174246,oracle_only
5310,100,oracle+donor_profile,xml,0,0.25,174247,oracle_only
5413,122,oracle+donor_profile,xml,0,0.25,174248,oracle_only
5538,95,oracle+donor_profile,xml,0,0.25,174249,oracle_only
5636,160,oracle+donor_profile,xml,0,0.25,174250,oracle_only
5799,114,oracle+donor_profile,xml,0,0.25,174251,oracle_only
5916,119,oracle+donor_profile,xml,0,0.25,174252,oracle_only
6038,121,oracle+donor_profile,xml,0,0.25,174253,oracle_only
6162,114,oracle+donor_profile,xml,0,0.25,174254,oracle_only
6279,127,oracle+donor_profile,xml,0,0.25,174255,oracle_only
6409,137,oracle+donor_profile,xml,0,0.25,174256,oracle_only
6549,173,oracle+donor_profile,xml,0,0.25,174257,oracle_only
6725,108,oracle+donor_profile,xml,0,0.25,174258,oracle_only
6836,121,oracle+donor_profile,xml,0,0.25,174259,oracle_only
6960,102,oracle+donor_profile,xml,0,0.25,174260,oracle_only
7065,120,oracle+donor_profile,xml,0,0.25,174261,oracle_only
7188,106,oracle+donor_profile,xml,0,0.25,174262,oracle_only
7297,122,oracle+donor_profile,xml,0,0.25,174263,oracle_only
7422,119,oracle+donor_profile,xml,0,0.25,174264,oracle_only
7544,123,oracle+donor_profile,xml,0,0.25,174265,oracle_only
7670,97,oracle+donor_profile,xml,0,0.25,174266,oracle_only
7770,121,oracle+donor_profile,xml,0,0.25,174267,oracle_only
7894,118,oracle+donor_profile,xml,0,0.25,174268,oracle_only
8015,128,oracle+donor_profile,xml,0,0.25,174269,oracle_only
8146,148,oracle+donor_profile,xml,0,0.25,174270,oracle_only
8297,109,oracle+donor_profile,xml,0,0.25,174271,oracle_only
8409,118,oracle+donor_profile,xml,0,0.25,174272,oracle_only
8530,92,oracle+donor_profile,xml,0,0.25,174273,oracle_only
8625,122,oracle+donor_profile,xml,0,0.25,174274,oracle_only
8750,106,oracle+donor_profile,xml,0,0.25,174275,oracle_only
8859,84,oracle+donor_profile,xml,0,0.25,174276,oracle_only
8946,116,oracle+donor_profile,xml,0,0.25,174277,oracle_only
9065,114,oracle+donor_profile,xml,0,0.25,174278,oracle_only
9182,144,oracle+donor_profile,xml,0,0.25,174279,oracle_only
9329,99,oracle+donor_profile,xml,0,0.25,174280,oracle_only
9431,175,oracle+donor_profile,xml,0,0.25,174281,oracle_only
9609,91,oracle+donor_profile,xml,0,0.25,174282,oracle_only
9703,127,oracle+donor_profile,xml,0,0.25,174283,oracle_only
9833,111,oracle+donor_profile,xml,0,0.25,174284,oracle_only
9947,95,oracle+donor_profile,xml,0,0.25,174285,oracle_only
10045,115,oracle+donor_profile,xml,0,0.25,174286,oracle_only
10163,105,oracle+donor_profile,xml,0,0.25,174287,oracle_only
10271,119,oracle+donor_profile,xml,0,0.25,174288,oracle_only
10393,113,oracle+donor_profile,xml,0,0.25,174289,oracle_only
10509,148,oracle+donor_profile,xml,0,0.25,174290,oracle_only
10660,84,oracle+donor_profile,xml,0,0.25,174291,oracle_only
10747,161,oracle+donor_profile,xml,0,0.25,174292,oracle_only
10911,148,oracle+donor_profile,xml,0,0.25,174293,oracle_only
11062,126,oracle+donor_profile,xml,0,0.25,174294,oracle_only
11191,123,oracle+donor_profile,xml,0,0.25,174295,oracle_only
11317,129,oracle+donor_profile,xml,0,0.25,174296,oracle_only
11449,131,oracle+donor_profile,xml,0,0.25,174297,oracle_only
11583,117,oracle+donor_profile,xml,0,0.25,174298,oracle_only
11703,121,oracle+donor_profile,xml,0,0.25,174299,oracle_only
11827,114,oracle+donor_profile,xml,0,0.25,174300,oracle_only
11944,114,oracle+donor_profile,xml,0,0.25,174301,oracle_only
12061,119,oracle+donor_profile,xml,0,0.25,174302,oracle_only
12183,120,oracle+donor_profile,xml,0,0.25,174303,oracle_only
12306,118,oracle+donor_profile,xml,0,0.25,174304,oracle_only
12427,121,oracle+donor_profile,xml,0,0.25,174305,oracle_only
12551,119,oracle+donor_profile,xml,0,0.25,174306,oracle_only
12673,126,oracle+donor_profile,xml,0,0.25,174307,oracle_only
12802,125,oracle+donor_profile,xml,0,0.25,174308,oracle_only
12930,89,oracle+donor_profile,xml,0,0.25,174309,oracle_only
13022,120,oracle+donor_profile,xml,0,0.25,174310,oracle_only
13145,109,oracle+donor_profile,xml,0,0.25,174311,oracle_only
13257,135,oracle+donor_profile,xml,0,0.25,174312,oracle_only
13395,122,oracle+donor_profile,xml,0,0.25,174313,oracle_only
13520,146,oracle+donor_profile,xml,0,0.25,174314,oracle_only
13669,124,oracle+donor_profile,xml,0,0.25,174315,oracle_only
13796,118,oracle+donor_profile,xml,0,0.25,174316,oracle_only
13917,169,oracle+donor_profile,xml,0,0.25,174317,oracle_only
14089,130,oracle+donor_profile,xml,0,0.25,174318,oracle_only
14222,99,oracle+donor_profile,xml,0,0.25,174319,oracle_only
14324,134,oracle+donor_profile,xml,0,0.25,174320,oracle_only
14461,101,oracle+donor_profile,xml,0,0.25,174321,oracle_only
14565,140,oracle+donor_profile,xml,0,0.25,174322,oracle_only
14708,161,oracle+donor_profile,xml,0,0.25,174323,oracle_only
14872,118,oracle+donor_profile,xml,0,0.25,174324,oracle_only
14993,136,oracle+donor_profile,xml,0,0.25,174325,oracle_only
15132,137,oracle+donor_profile,xml,0,0.25,174326,oracle_only
15272,129,oracle+donor_profile,xml,0,0.25,174327,oracle_only
15404,116,oracle+donor_profile,xml,0,0.25,174328,oracle_only
15523,126,oracle+donor_profile,xml,0,0.25,174329,oracle_only
15652,85,oracle+donor_profile,xml,0,0.25,174330,oracle_only
15740,179,oracle+donor_profile,xml,0,0.25,174331,oracle_only
