offset,length,experts,stream_class,profile,residual_gain,pack_id,status
12464,124,oracle+donor_profile,xml,0,0.25,182649,oracle_only
12591,137,oracle+donor_profile,xml,0,0.25,182650,oracle_only
12731,119,oracle+donor_profile,xml,0,0.25,182651,oracle_only
12853,126,oracle+donor_profile,xml,0,0.25,182652,oracle_only
12982,115,oracle+donor_profile,xml,0,0.25,182653,oracle_only
13100,129,oracle+donor_profile,xml,0,0.25,182654,oracle_only
13232,177,oracle+donor_profile,xml,0,0.25,182655,oracle_only
13412,132,oracle+donor_profile,xml,0,0.25,182656,oracle_only
13547,106,oracle+donor_profile,xml,0,0.25,182657,oracle_only
13656,102,oracle+donor_profile,xml,0,0.25,182658,oracle_only
13761,110,oracle+donor_profile,xml,0,0.25,182659,oracle_only
13874,136,oracle+donor_profile,xml,0,0.25,182660,oracle_only
14013,107,oracle+donor_profile,xml,0,0.25,182661,oracle_only
14123,150,oracle+donor_profile,xml,0,0.25,182662,oracle_only
14276,140,oracle+donor_profile,xml,0,0.25,182663,oracle_only
14419,117,oracle+donor_profile,xml,0,0.25,182664,oracle_only
14539,90,oracle+donor_profile,xml,0,0.25,182665,oracle_only
14632,113,oracle+donor_profile,xml,0,0.25,182666,oracle_only
14748,115,oracle+donor_profile,xml,0,0.25,182667,oracle_only
14866,112,oracle+donor_profile,xml,0,0.25,182668,oracle_only
14981,126,oracle+donor_profile,xml,0,0.25,182669,oracle_only
15110,117,oracle+donor_profile,xml,0,0.25,182670,oracle_only
15230,83,oracle+donor_profile,xml,0,0.25,182671,oracle_only
15316,126,oracle+donor_profile,xml,0,0.25,182672,oracle_only
15445,123,oracle+donor_profile,xml,0,0.25,182673,oracle_only
15571,105,oracle+donor_profile,xml,0,0.25,182674,oracle_only
15679,111,oracle+donor_profile,xml,0,0.25,182675,oracle_only
15793,123,oracle+donor_profile,xml,0,0.25,182676,oracle_only
15919,155,oracle+donor_profile,xml,0,0.25,182677,oracle_only
16077,105,oracle+donor_profile,xml,0,0.25,182678,oracle_only
16185,96,oracle+donor_profile,xml,0,0.25,182679,oracle_only
16284,128,oracle+donor_profile,xml,0,0.25,182680,oracle_only
16415,119,oracle+donor_profile,xml,0,0.25,182681,oracle_only
16537,127,oracle+donor_profile,xml,0,0.25,182682,oracle_only
16667,113,oracle+donor_profile,xml,0,0.25,182683,oracle_only
16783,147,oracle+donor_profile,xml,0,0.25,182684,oracle_only
16933,124,oracle+donor_profile,xml,0,0.25,182685,oracle_only
17060,142,oracle+donor_profile,xml,0,0.25,182686,oracle_only
17205,131,oracle+donor_profile,xml,0,0.25,182687,oracle_only
17339,120,oracle+donor_profile,xml,0,0.25,182688,oracle_only
17462,103,oracle+donor_profile,xml,0,0.25,182689,oracle_only
17568,112,oracle+donor_profile,xml,0,0.25,182690,oracle_only
17683,121,oracle+donor_profile,xml,0,0.25,182691,oracle_only
17807,166,oracle+donor_profile,xml,0,0.25,182692,oracle_only
17976,125,oracle+donor_profile,xml,0,0.25,182693,oracle_only
18104,103,oracle+donor_profile,xml,0,0.25,182694,oracle_only
18210,116,oracle+donor_profile,xml,0,0.25,182695,oracle_only
18329,108,oracle+donor_profile,xml,0,0.25,182696,oracle_only
18440,125,oracle+donor_profile,xml,0,0.25,182697,oracle_only
18568,116,oracle+donor_profile,xml,0,0.25,182698,oracle_only
18687,120,oracle+donor_profile,xml,0,0.25,182699,oracle_only
18810,113,oracle+donor_profile,xml,0,0.25,182700,oracle_only
18926,130,oracle+donor_profile,xml,0,0.25,182701,oracle_only
19059,133,oracle+donor_profile,xml,0,0.25,182702,oracle_only
19195,120,oracle+donor_profile,xml,0,0.25,182703,oracle_only
19318,82,oracle+donor_profile,xml,0,0.25,182704,oracle_only
19403,125,oracle+donor_profile,xml,0,0.25,182705,oracle_only
19531,182,oracle+donor_profile,xml,0,0.25,182706,oracle_only
19716,127,oracle+donor_profile,xml,0,0.25,182707,oracle_only
19846,116,oracle+donor_profile,xml,0,0.25,182708,oracle_only
19965,93,oracle+donor_profile,xml,0,0.25,182709,oracle_only
20061,90,oracle+donor_profile,xml,0,0.25,182710,oracle_only
20154,122,oracle+donor_profile,xml,0,0.25,182711,oracle_only
20279,122,oracle+donor_profile,xml,0,0.25,182712,oracle_only
20404,126,oracle+donor_profile,xml,0,0.25,182713,oracle_only
20533,124,oracle+donor_profile,xml,0,0.25,182714,oracle_only
