stream_class,profile_rank,donor_offset,donor_length,recipient_mentions,phrase_score,signature_hits
9,0,982528,65536,2,608,100
9,1,491264,65536,2,571,93
9,2,0,65536,2,380,64
9,3,1048320,65536,5,366,60
9,4,1540096,65536,5,276,46
9,5,1031680,16384,2,244,40
9,6,2097920,16384,4,151,25
10,0,5177856,65536,1,96,14
10,1,4195584,256,1,29,7
10,2,5239296,4096,1,8,2
