group,recipient_offset,recipient_length,candidate_rank,donor_offset,donor_length,baseline_bytes,donor_alone_bytes,warm_total_bytes,assisted_bytes,gain_bytes,phrase_score
1,1048219,1049689,0,982528,65536,152695,149261,149279,-18,155,10212,159491,482
1,1048219,1049689,1,491264,65536,152695,149261,151007,-1746,491419,8137,159144,457
2,2097908,1048760,0,1048320,65536,156591,152819,154008,-1189,984052,15615,169623,215
