recipient_region,recipient_offset,profile_donors,removed_donor,profile_donor_count,full_payload_bytes,without_payload_bytes,marginal_gain_bytes,status
128,91130,12032:2048;12032:256;12288:2048;13056:2048;12544:256;12544:2048;12800:2048,13056:2048,7,80,82,2,helps
128,91130,12032:2048;12032:256;12288:2048;13056:2048;12544:256;12544:2048;12800:2048,12544:256,7,80,82,2,helps
128,91130,12032:2048;12032:256;12288:2048;13056:2048;12544:256;12544:2048;12800:2048,12544:2048,7,80,81,1,helps
128,91130,12032:2048;12032:256;12288:2048;13056:2048;12544:256;12544:2048;12800:2048,12800:2048,7,80,81,1,helps
129,91960,16640:2048,16640:2048,1,74,75,1,helps
130,92757,12032:16384,12032:16384,1,78,79,1,helps
132,94146,44288:32768,44288:32768,1,77,78,1,helps
133,94922,36352:32768;45568:1024;53760:4096,36352:32768,3,16,17,1,helps
133,94922,36352:32768;45568:1024;53760:4096,45568:1024,3,16,18,2,helps
133,94922,36352:32768;45568:1024;53760:4096,53760:4096,3,16,17,1,helps
135,96051,37632:1024;37888:1024;38144:1024;38400:1024;38656:1024;38656:2048;63232:1024;38656:16384,37632:1024,8,52,52,0,neutral
135,96051,37632:1024;37888:1024;38144:1024;38400:1024;38656:1024;38656:2048;63232:1024;38656:16384,37888:1024,8,52,52,0,neutral
135,96051,37632:1024;37888:1024;38144:1024;38400:1024;38656:1024;38656:2048;63232:1024;38656:16384,38144:1024,8,52,52,0,neutral
135,96051,37632:1024;37888:1024;38144:1024;38400:1024;38656:1024;38656:2048;63232:1024;38656:16384,38400:1024,8,52,53,1,helps
135,96051,37632:1024;37888:1024;38144:1024;38400:1024;38656:1024;38656:2048;63232:1024;38656:16384,38656:1024,8,52,53,1,helps
135,96051,37632:1024;37888:1024;38144:1024;38400:1024;38656:1024;38656:2048;63232:1024;38656:16384,38656:2048,8,52,53,1,helps
135,96051,37632:1024;37888:1024;38144:1024;38400:1024;38656:1024;38656:2048;63232:1024;38656:16384,63232:1024,8,52,53,1,helps
135,96051,37632:1024;37888:1024;38144:1024;38400:1024;38656:1024;38656:2048;63232:1024;38656:16384,38656:16384,8,52,53,1,helps
136,96760,13056:16384,13056:16384,1,100,101,1,helps
137,97733,39168:1024;39168:16384;39424:1024;39424:16384;39936:1024;39680:1024,39168:1024,6,75,76,1,helps
137,97733,39168:1024;39168:16384;39424:1024;39424:16384;39936:1024;39680:1024,39168:16384,6,75,76,1,helps
137,97733,39168:1024;39168:16384;39424:1024;39424:16384;39936:1024;39680:1024,39424:1024,6,75,76,1,helps
137,97733,39168:1024;39168:16384;39424:1024;39424:16384;39936:1024;39680:1024,39424:16384,6,75,76,1,helps
137,97733,39168:1024;39168:16384;39424:1024;39424:16384;39936:1024;39680:1024,39936:1024,6,75,76,1,helps
137,97733,39168:1024;39168:16384;39424:1024;39424:16384;39936:1024;39680:1024,39680:1024,6,75,76,1,helps
138,98548,12288:256,12288:256,1,161,162,1,helps
140,100309,12544:256,12544:256,1,58,59,1,helps
141,101014,42752:1024;42496:1024,42752:1024,2,18,19,1,helps
141,101014,42752:1024;42496:1024,42496:1024,2,18,19,1,helps
142,101610,67584:16384,67584:16384,1,167,168,1,helps
143,102555,12544:1024;12032:1024,12544:1024,2,135,136,1,helps
143,102555,12544:1024;12032:1024,12032:1024,2,135,136,1,helps
144,103442,12032:1024;12032:16384;12288:1024;12288:16384;12544:1024;12800:1024;13312:16384,12032:1024,7,99,100,1,helps
144,103442,12032:1024;12032:16384;12288:1024;12288:16384;12544:1024;12800:1024;13312:16384,12032:16384,7,99,100,1,helps
144,103442,12032:1024;12032:16384;12288:1024;12288:16384;12544:1024;12800:1024;13312:16384,12288:1024,7,99,100,1,helps
144,103442,12032:1024;12032:16384;12288:1024;12288:16384;12544:1024;12800:1024;13312:16384,12288:16384,7,99,100,1,helps
144,103442,12032:1024;12032:16384;12288:1024;12288:16384;12544:1024;12800:1024;13312:16384,12544:1024,7,99,100,1,helps
144,103442,12032:1024;12032:16384;12288:1024;12288:16384;12544:1024;12800:1024;13312:16384,12800:1024,7,99,100,1,helps
144,103442,12032:1024;12032:16384;12288:1024;12288:16384;12544:1024;12800:1024;13312:16384,13312:16384,7,99,100,1,helps
145,104302,12032:1024;12288:1024,12032:1024,2,74,75,1,helps
145,104302,12032:1024;12288:1024,12288:1024,2,74,75,1,helps
146,105024,12032:16384;12288:1024;12800:16384;13056:4096;13056:16384,12032:16384,5,51,52,1,helps
146,105024,12032:16384;12288:1024;12800:16384;13056:4096;13056:16384,12288:1024,5,51,52,1,helps
146,105024,12032:16384;12288:1024;12800:16384;13056:4096;13056:16384,12800:16384,5,51,52,1,helps
146,105024,12032:16384;12288:1024;12800:16384;13056:4096;13056:16384,13056:4096,5,51,52,1,helps
146,105024,12032:16384;12288:1024;12800:16384;13056:4096;13056:16384,13056:16384,5,51,52,1,helps
147,105670,12032:512;12288:512;12544:512;13056:512;13312:512,12032:512,5,62,63,1,helps
147,105670,12032:512;12288:512;12544:512;13056:512;13312:512,12288:512,5,62,63,1,helps
147,105670,12032:512;12288:512;12544:512;13056:512;13312:512,12544:512,5,62,63,1,helps
147,105670,12032:512;12288:512;12544:512;13056:512;13312:512,13056:512,5,62,63,1,helps
147,105670,12032:512;12288:512;12544:512;13056:512;13312:512,13312:512,5,62,63,1,helps
148,106417,13056:1024;13056:16384;13056:2048;13056:256;13056:32768;13056:4096;73472:256,13056:1024,7,29,30,1,helps
148,106417,13056:1024;13056:16384;13056:2048;13056:256;13056:32768;13056:4096;73472:256,13056:16384,7,29,30,1,helps
148,106417,13056:1024;13056:16384;13056:2048;13056:256;13056:32768;13056:4096;73472:256,13056:2048,7,29,30,1,helps
148,106417,13056:1024;13056:16384;13056:2048;13056:256;13056:32768;13056:4096;73472:256,13056:256,7,29,30,1,helps
148,106417,13056:1024;13056:16384;13056:2048;13056:256;13056:32768;13056:4096;73472:256,13056:32768,7,29,30,1,helps
148,106417,13056:1024;13056:16384;13056:2048;13056:256;13056:32768;13056:4096;73472:256,13056:4096,7,29,30,1,helps
148,106417,13056:1024;13056:16384;13056:2048;13056:256;13056:32768;13056:4096;73472:256,73472:256,7,29,30,1,helps
149,107034,12032:1024;5632:32768,12032:1024,2,80,80,0,neutral
149,107034,12032:1024;5632:32768,5632:32768,2,80,81,1,helps
150,107763,100096:4096;100352:4096;13056:1024;13056:16384,100096:4096,4,41,42,1,helps
150,107763,100096:4096;100352:4096;13056:1024;13056:16384,100352:4096,4,41,42,1,helps
150,107763,100096:4096;100352:4096;13056:1024;13056:16384,13056:1024,4,41,42,1,helps
150,107763,100096:4096;100352:4096;13056:1024;13056:16384,13056:16384,4,41,42,1,helps
151,108453,100096:1024;4864:1024,100096:1024,2,45,45,0,neutral
151,108453,100096:1024;4864:1024,4864:1024,2,45,46,1,helps
153,109718,101376:256;93184:4096,101376:256,2,54,54,0,neutral
153,109718,101376:256;93184:4096,93184:4096,2,54,55,1,helps
155,111048,60928:32768,60928:32768,1,49,50,1,helps
156,111754,103424:1024;103424:256,103424:1024,2,41,42,1,helps
156,111754,103424:1024;103424:256,103424:256,2,41,42,1,helps
157,112409,103168:2048,103168:2048,1,61,62,1,helps
158,113123,43008:256;42240:1024,43008:256,2,50,51,1,helps
158,113123,43008:256;42240:1024,42240:1024,2,50,51,1,helps
159,113732,104448:1024;104448:2048;104704:1024;104704:2048;105216:1024;105216:2048,104448:1024,6,75,76,1,helps
159,113732,104448:1024;104448:2048;104704:1024;104704:2048;105216:1024;105216:2048,104448:2048,6,75,76,1,helps
159,113732,104448:1024;104448:2048;104704:1024;104704:2048;105216:1024;105216:2048,104704:1024,6,75,76,1,helps
159,113732,104448:1024;104448:2048;104704:1024;104704:2048;105216:1024;105216:2048,104704:2048,6,75,76,1,helps
159,113732,104448:1024;104448:2048;104704:1024;104704:2048;105216:1024;105216:2048,105216:1024,6,75,76,1,helps
159,113732,104448:1024;104448:2048;104704:1024;104704:2048;105216:1024;105216:2048,105216:2048,6,75,76,1,helps
160,114633,105216:1024;105216:2048;105472:1024;105472:2048;105984:1024;105728:2048,105216:1024,6,65,66,1,helps
160,114633,105216:1024;105216:2048;105472:1024;105472:2048;105984:1024;105728:2048,105216:2048,6,65,66,1,helps
160,114633,105216:1024;105216:2048;105472:1024;105472:2048;105984:1024;105728:2048,105472:1024,6,65,66,1,helps
160,114633,105216:1024;105216:2048;105472:1024;105472:2048;105984:1024;105728:2048,105472:2048,6,65,66,1,helps
160,114633,105216:1024;105216:2048;105472:1024;105472:2048;105984:1024;105728:2048,105984:1024,6,65,66,1,helps
160,114633,105216:1024;105216:2048;105472:1024;105472:2048;105984:1024;105728:2048,105728:2048,6,65,66,1,helps
161,115269,107008:1024;112640:256,107008:1024,2,57,57,0,neutral
161,115269,107008:1024;112640:256,112640:256,2,57,58,1,helps
162,115919,106496:2048;107008:1024;107264:1024;106752:1024,106496:2048,4,119,120,1,helps
162,115919,106496:2048;107008:1024;107264:1024;106752:1024,107008:1024,4,119,121,2,helps
162,115919,106496:2048;107008:1024;107264:1024;106752:1024,107264:1024,4,119,120,1,helps
162,115919,106496:2048;107008:1024;107264:1024;106752:1024,106752:1024,4,119,120,1,helps
163,116784,108288:256,108288:256,1,55,56,1,helps
164,117415,100096:1024;100096:16384;100352:1024;100352:16384;100608:1024;100608:16384,100096:1024,6,50,51,1,helps
164,117415,100096:1024;100096:16384;100352:1024;100352:16384;100608:1024;100608:16384,100096:16384,6,50,51,1,helps
164,117415,100096:1024;100096:16384;100352:1024;100352:16384;100608:1024;100608:16384,100352:1024,6,50,51,1,helps
164,117415,100096:1024;100096:16384;100352:1024;100352:16384;100608:1024;100608:16384,100352:16384,6,50,51,1,helps
164,117415,100096:1024;100096:16384;100352:1024;100352:16384;100608:1024;100608:16384,100608:1024,6,50,51,1,helps
164,117415,100096:1024;100096:16384;100352:1024;100352:16384;100608:1024;100608:16384,100608:16384,6,50,51,1,helps
166,118962,101376:1024;101376:16384;101632:1024;101632:16384;102144:16384;101888:16384,101376:1024,6,34,35,1,helps
166,118962,101376:1024;101376:16384;101632:1024;101632:16384;102144:16384;101888:16384,101376:16384,6,34,35,1,helps
166,118962,101376:1024;101376:16384;101632:1024;101632:16384;102144:16384;101888:16384,101632:1024,6,34,35,1,helps
166,118962,101376:1024;101376:16384;101632:1024;101632:16384;102144:16384;101888:16384,101632:16384,6,34,35,1,helps
166,118962,101376:1024;101376:16384;101632:1024;101632:16384;102144:16384;101888:16384,102144:16384,6,34,35,1,helps
166,118962,101376:1024;101376:16384;101632:1024;101632:16384;102144:16384;101888:16384,101888:16384,6,34,35,1,helps
167,119586,102144:256;111360:256,102144:256,2,77,77,0,neutral
167,119586,102144:256;111360:256,111360:256,2,77,78,1,helps
168,120338,103936:1024;103936:16384;103936:2048;103936:4096;95744:4096,103936:1024,5,65,66,1,helps
168,120338,103936:1024;103936:16384;103936:2048;103936:4096;95744:4096,103936:16384,5,65,66,1,helps
168,120338,103936:1024;103936:16384;103936:2048;103936:4096;95744:4096,103936:2048,5,65,66,1,helps
168,120338,103936:1024;103936:16384;103936:2048;103936:4096;95744:4096,103936:4096,5,65,66,1,helps
168,120338,103936:1024;103936:16384;103936:2048;103936:4096;95744:4096,95744:4096,5,65,66,1,helps
169,121144,103680:1024;103680:16384;103936:1024,103680:1024,3,121,122,1,helps
169,121144,103680:1024;103680:16384;103936:1024,103680:16384,3,121,122,1,helps
169,121144,103680:1024;103680:16384;103936:1024,103936:1024,3,121,122,1,helps
172,123857,106240:256,106240:256,1,29,30,1,helps
