recipient_region,recipient_offset,candidate_rank,donor_offset,donor_length,phrase_score,source
52,36188,1,19712,4096,0,recent_fallback
52,36188,2,27904,4096,0,recent_fallback
52,36188,0,11520,4096,0,recent_fallback
52,36188,1,19712,4096,0,recent_fallback
52,36188,2,27904,4096,0,recent_fallback
53,36530,0,11776,4096,0,recent_fallback
53,36530,1,19968,4096,0,recent_fallback
53,36530,2,28160,4096,0,recent_fallback
54,36918,0,4096,4096,0,recent_fallback
54,36918,1,12288,4096,0,recent_fallback
54,36918,2,20480,4096,0,recent_fallback
54,36918,3,28672,4096,0,recent_fallback
54,36918,0,4096,4096,0,recent_fallback
54,36918,1,12288,4096,0,recent_fallback
54,36918,2,20480,4096,0,recent_fallback
54,36918,3,28672,4096,0,recent_fallback
55,37258,0,4352,4096,0,recent_fallback
55,37258,1,12544,4096,0,recent_fallback
55,37258,2,20736,4096,0,recent_fallback
55,37258,3,28928,4096,0,recent_fallback
55,37258,0,4352,4096,0,recent_fallback
55,37258,1,12544,4096,0,recent_fallback
55,37258,2,20736,4096,0,recent_fallback
55,37258,3,28928,4096,0,recent_fallback
56,37608,0,4608,4096,0,recent_fallback
56,37608,1,12800,4096,0,recent_fallback
56,37608,2,20992,4096,0,recent_fallback
56,37608,3,29184,4096,0,recent_fallback
57,37949,0,5120,4096,0,recent_fallback
57,37949,1,13312,4096,0,recent_fallback
57,37949,2,21504,4096,0,recent_fallback
57,37949,3,29696,4096,0,recent_fallback
57,37949,0,5120,4096,0,recent_fallback
57,37949,1,13312,4096,0,recent_fallback
57,37949,2,21504,4096,0,recent_fallback
57,37949,3,29696,4096,0,recent_fallback
58,38291,0,5376,4096,0,recent_fallback
58,38291,1,13568,4096,0,recent_fallback
58,38291,2,21760,4096,0,recent_fallback
58,38291,3,29952,4096,0,recent_fallback
59,38671,0,5888,4096,0,recent_fallback
59,38671,1,14080,4096,0,recent_fallback
59,38671,2,22272,4096,0,recent_fallback
59,38671,3,30464,4096,0,recent_fallback
59,38671,0,5888,4096,0,recent_fallback
59,38671,1,14080,4096,0,recent_fallback
59,38671,2,22272,4096,0,recent_fallback
59,38671,3,30464,4096,0,recent_fallback
60,39157,0,6144,4096,0,recent_fallback
60,39157,1,14336,4096,0,recent_fallback
60,39157,2,22528,4096,0,recent_fallback
60,39157,3,30720,4096,0,recent_fallback
60,39157,0,6144,4096,0,recent_fallback
60,39157,1,14336,4096,0,recent_fallback
60,39157,2,22528,4096,0,recent_fallback
60,39157,3,30720,4096,0,recent_fallback
61,39512,0,11776,256,2,phrase_token
61,39512,1,11776,1024,2,phrase_token
61,39512,2,19968,256,2,phrase_token
61,39512,3,6656,4096,0,recent_fallback
61,39512,4,14848,4096,0,recent_fallback
61,39512,5,23040,4096,0,recent_fallback
61,39512,6,31232,4096,0,recent_fallback
62,40113,0,11776,256,2,phrase_token
62,40113,1,11776,1024,2,phrase_token
62,40113,2,7168,4096,0,recent_fallback
62,40113,3,15360,4096,0,recent_fallback
62,40113,4,23552,4096,0,recent_fallback
62,40113,5,31744,4096,0,recent_fallback
62,40113,0,11776,256,2,phrase_token
62,40113,1,11776,1024,2,phrase_token
62,40113,2,7168,4096,0,recent_fallback
62,40113,3,15360,4096,0,recent_fallback
62,40113,4,23552,4096,0,recent_fallback
62,40113,5,31744,4096,0,recent_fallback
63,40824,0,7936,4096,0,recent_fallback
63,40824,1,16128,4096,0,recent_fallback
63,40824,2,24320,4096,0,recent_fallback
63,40824,3,32512,4096,0,recent_fallback
64,41359,0,11776,256,2,phrase_token
64,41359,1,11776,1024,2,phrase_token
64,41359,2,8448,4096,0,recent_fallback
64,41359,3,16640,4096,0,recent_fallback
64,41359,4,24832,4096,0,recent_fallback
64,41359,5,33024,4096,0,recent_fallback
64,41359,0,11776,256,2,phrase_token
64,41359,1,11776,1024,2,phrase_token
64,41359,2,8448,4096,0,recent_fallback
64,41359,3,16640,4096,0,recent_fallback
64,41359,4,24832,4096,0,recent_fallback
64,41359,5,33024,4096,0,recent_fallback
65,42166,0,11776,256,2,phrase_token
65,42166,1,11776,1024,2,phrase_token
65,42166,2,9216,4096,0,recent_fallback
65,42166,3,17408,4096,0,recent_fallback
65,42166,4,25600,4096,0,recent_fallback
65,42166,5,33792,4096,0,recent_fallback
65,42166,0,11776,256,2,phrase_token
65,42166,1,11776,1024,2,phrase_token
65,42166,2,9216,4096,0,recent_fallback
65,42166,3,17408,4096,0,recent_fallback
65,42166,4,25600,4096,0,recent_fallback
