recipient_region,recipient_offset,baseline_payload_bytes,selected_payload_bytes,gain_bytes,net_gain_bytes,donor_count,donors,candidate_count,exact_trials
149,107034,81,81,0,0,0,-,7,193
150,107763,42,42,0,0,0,-,7,179
151,108453,46,46,0,0,0,-,7,71
152,109049,67,67,0,0,0,-,7,191
153,109718,55,55,0,0,0,-,7,150
154,110416,52,52,0,0,0,-,7,41
155,111048,50,50,0,0,0,-,7,187
156,111754,42,42,0,0,0,-,7,119
157,112409,62,62,0,0,0,-,7,10
158,113123,51,51,0,0,0,-,7,192
159,113732,76,76,0,0,0,-,7,90
160,114633,66,66,0,0,0,-,7,190
161,115269,58,58,0,0,0,-,7,173
162,115919,120,120,0,0,0,-,7,60
163,116784,56,56,0,0,0,-,7,188
164,117415,51,51,0,0,0,-,7,134
165,118021,151,151,0,0,0,-,7,21
166,118962,35,35,0,0,0,-,7,175
167,119586,78,78,0,0,0,-,7,88
168,120338,66,66,0,0,0,-,7,188
169,121144,122,122,0,0,0,-,7,163
170,121973,137,137,0,0,0,-,7,47
171,122854,114,114,0,0,0,-,7,188
172,123857,30,30,0,0,0,-,7,123
