recipient_region,recipient_offset,span_rank,span_offset,emitted_bytes
0,0,0,860160,996
0,0,1,0,942
0,0,2,380928,794
0,0,3,917504,779
0,0,4,937984,778
0,0,5,913408,771
0,0,6,16384,736
0,0,7,909312,692
