"offset","length","bits","mask","stream_class","profile_id","baseline_bytes","mini_bytes","donor_bytes","combined_bytes","selected_bytes","mini_gain_bytes","donor_gain_bytes","combined_gain_bytes","best_mode","best_gain_bytes"
"45451","665","5045","114688","9","0","190.423874644","190.384438057","190.355280223","190.328321394","190.328321394","0.0394365871507","0.0685944208399","0.0955532493654","mini_donor","0.0955532493654"
"46119","2456","19085","114688","0","0","789.975519501","789.925750086","790.013291063","789.992465668","789.992465668","0.0497694150696","-0.0377715622208","-0.016946166413","mini_cmix","0.0497694150696"
"48578","1816","13986","114688","9","0","492.830709141","492.710273887","492.871441872","492.771297402","492.771297402","0.120435254319","-0.040732730502","0.0594117388753","mini_cmix","0.120435254319"
"73018","1788","13747","114688","6","0","347.472956724","347.457276416","347.545850394","347.549086416","347.549086416","0.0156803076924","-0.0728936702535","-0.076129692272","mini_cmix","0.0156803076924"
"81514","515","3931","114688","9","0","57.4745343029","57.3782730497","57.4710817446","57.3800671372","57.3800671372","0.0962612532313","0.00345255828688","0.0944671657645","mini_cmix","0.0962612532313"
"90044","898","6876","114688","6","0","94.1009825383","93.9911689876","94.1408688778","94.0363389834","94.0363389834","0.109813550721","-0.0398863394485","0.0646435549534","mini_cmix","0.109813550721"
"105191","494","3769","114688","9","0","13.0775494385","13.0221607707","13.1015707649","13.0473540431","13.0473540431","0.0553886678094","-0.0240213263924","0.0301953954299","mini_cmix","0.0553886678094"
"107117","490","3722","114688","9","0","11.4772068484","11.4710269875","11.4657156777","11.4605431099","11.4605431099","0.00617986090435","0.011491170625","0.0166637385095","mini_donor","0.0166637385095"
"107610","737","5614","114688","6","0","38.9006476472","38.660445209","38.883657446","38.6459257445","38.6459257445","0.240202438249","0.0169902011694","0.254721902681","mini_donor","0.254721902681"
"109308","829","6345","114688","6","0","47.2360583697","47.2003312913","47.2649371654","47.2333931078","47.2333931078","0.0357270783556","-0.0288787957488","0.00266526182759","mini_cmix","0.0357270783556"
"114018","545","4165","114688","9","0","55.2936660536","55.2616163694","55.2716051294","55.2395100099","55.2395100099","0.0320496841971","0.0220609241505","0.0541560436643","mini_donor","0.0541560436643"
"118894","481","3661","114688","9","0","12.5098556436","12.496003893","12.5372790181","12.5245918549","12.5245918549","0.0138517506167","-0.0274233744667","-0.0147362113338","mini_cmix","0.0138517506167"
"121228","519","3962","114688","9","0","27.2386873382","27.1658508203","27.226851073","27.156222821","27.156222821","0.0728365178949","0.0118362651847","0.0824645171316","mini_donor","0.0824645171316"
"121750","1013","7757","114688","6","0","93.2024910692","93.1159829039","93.2285565881","93.147535902","93.147535902","0.0865081653139","-0.026065518884","0.0549551672204","mini_cmix","0.0865081653139"
"124818","664","5080","114688","6","0","31.8269250382","31.8236978508","31.7553108486","31.7538364617","31.7538364617","0.00322718740256","0.0716141895718","0.0730885764834","mini_donor","0.0730885764834"
"127233","470","3579","114688","9","0","10.9746594959","10.9525086632","10.9877491915","10.966995634","10.966995634","0.0221508327318","-0.0130896955425","0.0076638618807","mini_cmix","0.0221508327318"
"128351","471","3583","114688","9","0","11.4879818083","11.4643890709","11.4623386344","11.4404849496","11.4404849496","0.0235927373757","0.0256431738771","0.0474968587129","mini_donor","0.0474968587129"
"130675","474","3608","114688","9","0","10.6984028619","10.698117987","10.7143942325","10.7153986","10.7153986","0.000284874849513","-0.015991370663","-0.0169957381408","mini_cmix","0.000284874849513"
"131816","821","6411","114688","1","0","250.49876233","250.223548746","250.526543058","250.259884558","250.259884558","0.275213583833","-0.0277807282573","0.238877772327","mini_cmix","0.275213583833"
"136094","656","5006","114688","6","0","21.9260361821","21.9093816328","21.8500725705","21.8352758408","21.8352758408","0.0166545493405","0.0759636116654","0.0907603413436","mini_donor","0.0907603413436"
"137230","712","5435","114688","6","0","27.8435243352","27.8326449088","27.8156619088","27.8076895359","27.8076895359","0.0108794264655","0.0278624264056","0.0358347993555","mini_donor","0.0358347993555"
"139487","939","7218","114688","9","0","177.033426838","176.718596625","177.039968212","176.733084743","176.733084743","0.314830213256","-0.00654137445963","0.300342094365","mini_cmix","0.314830213256"
"143621","1241","9396","114688","9","0","207.348894074","207.121784032","207.348341701","207.134363064","207.134363064","0.227110042256","0.000552373141545","0.214531010281","mini_cmix","0.227110042256"
"146002","565","4317","114688","9","0","50.4902649287","50.3530246263","50.4587373487","50.3258481306","50.3258481306","0.137240302402","0.0315275799767","0.164416798042","mini_donor","0.164416798042"
"147198","418","3169","114688","9","0","11.7235824142","11.6719794317","11.7527475361","11.7019645005","11.7019645005","0.0516029824873","-0.0291651219231","0.0216179137076","mini_cmix","0.0516029824873"
"147619","417","3160","114688","9","0","10.6369903534","10.6177479459","10.6391868405","10.6220405874","10.6220405874","0.0192424075672","-0.00219648701841","0.0149497660327","mini_cmix","0.0192424075672"
"151947","242","1866","114688","1","0","26.8591693132","26.8481571407","26.8481649057","26.8400732713","26.8400732713","0.0110121724992","0.0110044075409","0.0190960418895","mini_donor","0.0190960418895"
