offset,length
0,1048219
1048219,1049689
2097908,1048760
3146668,1048846
4195514,1047961
5243475,1048325
6291800,1050555
7342355,1050180
8392535,1054725
9447260,1046778
10494038,1049016
11543054,1047966
12591020,1050582
13641602,1057613
14699215,1050275
15749490,1048369
16797859,1046789
17844648,1051023
18895671,1047724
19943395,1047479
