offset,length,stages,stream_class
6291800,1050555,scr2_shared,mixed
8392535,1054725,scr2_shared,mixed
9447260,1046778,scr2_shared,mixed
10494038,1049016,scr2_shared,mixed
18895671,1047724,scr2_shared,mixed
