offset,length,stages,stream_class
6291800,1050555,scr2_shared,mixed
7342355,1050180,scr2_shared,mixed
8392535,1054725,scr2_shared,mixed
9447260,1046778,scr2_shared,mixed
10494038,1049016,scr2_shared,mixed
11543054,1047966,scr2_shared,mixed
12591020,1050582,scr2_shared,mixed
13641602,1057613,scr2_shared,mixed
18895671,1047724,scr2_shared,mixed
19943395,1047479,scr2_shared,mixed
