recipient_group,rank,source_group,overlap_fraction,overlap_windows,distance,class_match,forced
17,16,1,0.000268,8,15746740,1,False
18,0,8,0.001414,46,9448411,1,False
18,1,15,0.001359,44,2097812,1,False
18,2,7,0.001294,42,10503136,1,False
18,3,9,0.001292,42,8401633,0,False
18,4,6,0.001194,37,11553316,1,False
18,5,14,0.001133,37,3146181,1,False
18,6,13,0.001101,36,4196456,1,False
18,7,12,0.001047,34,5254069,1,False
18,8,10,0.001013,33,7352617,1,False
18,9,16,0.000950,31,1051023,1,False
18,10,5,0.000707,20,12603871,0,False
18,11,11,0.000705,23,6304651,1,False
18,12,2,0.000626,19,15749003,1,False
18,13,17,0.000581,19,0,1,False
18,14,4,0.000571,18,13652196,0,False
18,15,0,0.000506,13,17847452,1,False
18,16,3,0.000311,10,14700157,1,False
18,17,1,0.000268,8,16797763,1,False
19,0,10,0.001135,37,8400341,1,False
19,1,8,0.001014,33,10496135,1,False
19,2,15,0.000989,32,3145536,1,False
19,3,14,0.000980,32,4193905,1,False
19,4,18,0.000888,29,0,1,False
19,5,12,0.000862,28,6301793,1,False
19,6,9,0.000862,28,9449357,0,False
19,7,11,0.000858,28,7352375,1,False
19,8,7,0.000832,27,11550860,1,False
19,9,16,0.000766,25,2098747,1,False
19,10,6,0.000710,22,12601040,1,False
19,11,17,0.000705,23,1047724,1,False
19,12,13,0.000674,22,5244180,1,False
19,13,5,0.000636,18,13651595,0,False
19,14,4,0.000603,19,14699920,0,False
19,15,2,0.000593,18,16796727,1,False
19,16,1,0.000535,16,17845487,1,False
19,17,0,0.000467,12,18895176,1,False
19,18,3,0.000342,11,15747881,1,False
20,0,12,0.004435,144,7349272,1,False
20,1,8,0.003044,99,11543614,1,False
20,2,15,0.002595,84,4193015,1,False
20,3,11,0.002460,80,8399854,1,False
20,4,7,0.002280,74,12598339,1,False
20,5,9,0.002277,74,10496836,0,False
20,6,10,0.001937,63,9447820,1,False
20,7,14,0.001568,51,5241384,1,False
20,8,13,0.001168,38,6291659,1,False
20,9,18,0.001168,38,1047479,1,False
20,10,19,0.001076,35,0,1,False
