rank,pack_id,recipient_offset,recipient_length,best_phrase_score,best_signature_hits,candidate_count
0,1,1048219,1049689,482,80,13
1,2,2097908,1048760,215,35,20
2,5,5243475,1048325,96,14,4
3,8,8392535,1054725,84,12,11
4,10,10494038,1049016,63,9,6
5,3,3146668,1048846,48,8,8
6,11,11543054,1047966,46,8,10
7,6,6291800,1050555,33,5,6
8,7,7342355,1050180,31,5,7
9,9,9447260,1046778,22,4,1
10,0,0,1048219,0,0,0
11,4,4195514,1047961,0,0,0
