offset,length,experts,stream_class,profile,residual_gain,mini_models
1048219,1049689,donor_profile,list,0,0.25,
2097908,1048760,donor_profile,list,1,0.25,
3146668,1048846,donor_profile,list,1,0.25,
5243475,1048325,donor_profile,mixed,2,0.25,
